symbol,company_name,exchange,sector,market_cap
AGNCZ,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock,NASDAQ,,28306915205
AGPU,Axe Compute Inc. Common Stock,NASDAQ,Health Care,28804188
AGRZ,Agroz Inc. Ordinary Shares,NASDAQ,Consumer Staples,7795644
AGYS,Agilysys Inc. Common Stock (DE),NASDAQ,Technology,1958020486
AHCO,AdaptHealth Corp. Common Stock,NASDAQ,Health Care,1774146142
AHG,Akso Health Group ADS,NASDAQ,Real Estate,1180982919
AHMA,Ambitions Enterprise Management Co. L.L.C Class A Ordinary Shares,NASDAQ,Consumer Discretionary,33292000
AIDX,20/20 Biolabs Inc. Common Stock,NASDAQ,Health Care,15929735
AIFC,AI Financial Corporation Common Stock,NASDAQ,Finance,106082089
AIFF,Firefly Neuroscience Inc. Common Stock,NASDAQ,Technology,31953042
AIFU,AIFU Inc. Class A Ordinary Share,NASDAQ,Finance,177742581
AIHS,Senmiao Technology Limited Common Stock,NASDAQ,Finance,5332262
AIIO,Robo.ai Inc. Class B Ordinary Shares,NASDAQ,Industrials,12295463
AIIOW,Robo.ai Inc. Warrant,NASDAQ,Industrials,393692
AIMD,Ainos Inc. Common Stock,NASDAQ,Health Care,12424879
AIOS,AIOS Tech Inc. Class A Common Shares,NASDAQ,Industrials,50428438
AIOT,PowerFleet Inc. Common Stock,NASDAQ,Telecommunications,440003069
AIP,Arteris Inc. Common Stock,NASDAQ,Technology,1329772029
AIRE,reAlpha Tech Corp. Common Stock,NASDAQ,Finance,17542739
AIRG,Airgain Inc. Common Stock,NASDAQ,Technology,90505069
AIRJ,AirJoule Technologies Corporation Class A Common Stock,NASDAQ,Industrials,212265494
AIRJW,AirJoule Technologies Corporation Warrant,NASDAQ,Industrials,41083644
AIRO,AIRO Group Holdings Inc. Common Stock,NASDAQ,Industrials,227613886
AIRS,AirSculpt Technologies Inc. Common Stock,NASDAQ,Health Care,242677143
AIRT,Air T Inc. Common Stock,NASDAQ,Consumer Discretionary,58052686
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,NASDAQ,Consumer Discretionary,53593331
AISP,Airship AI Holdings Inc. Class A Common Stock,NASDAQ,Technology,85930405
AISPW,Airship AI Holdings Inc. Warrants,NASDAQ,Technology,26119406
